RequirementId;CaseId;DocumentId;PdfViewUrl;PdfOpenLinkSv;PdfOpenLinkEn;ProjectId;KravkallaTyp;Kravkategori;Kravsubkategori;KravtextCitat;TolkadKravtext;Kravniva;RattsligHanvisning;Tidsfrist;Kontrollfrekvens;SanktionEllerKonsekvens;UtlosandeVillkor;Avfallsslag;EWC;MaxMangdTon;MaxLagringstid;KopplingKonstruktion;KopplingLakvatten;KopplingKontrollprogram;KopplingRisk;Mallavsnitt;KommunBlankettFalt;BilagaSomStods;MinimikravJaNej;KommunspecifiktJaNej;StatusIAnmalan;Kommentar;Kodningssakerhet;Verifieringsstatus;VerifieradJaNej;VerifieradAv;VerifieradDatum;Feltyp;ValideringsKommentar
KRAV-AUTO-000001;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumxa005ecuqwd2rfqss7;http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;LagringsvolymTid;Maxmangd;Miljö- och byggnadskontoret Mängd (ton) 500 25 100 Beskriv kortfattat hur materialet kommer att användas och hur anläggningsarbetet ska utföras Materialförstärkningen täcks med bärlager och väg-grus.;Miljö- och byggnadskontoret Mängd (ton) 500 25 100 Beskriv kortfattat hur materialet kommer att användas och hur anläggningsarbetet ska utföras Materialförstärkningen täcks med bärlager och väg-grus.;SKA;;;;;Alltid;;556718;;;Nej;Nej;Nej;Nej;4;Avfallsmangder och lagringstid;Avfallsforteckning;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000002;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumxa005ecuqwd2rfqss7;http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;MiljopaverkanForsiktighet;Skyddsatgarder;Beskriv vilken behandling som ska ske av avfallet innan användning, t.ex.;Beskriv vilken behandling som ska ske av avfallet innan användning, t.ex.;SKA;;;;;Alltid;;556718;;;Nej;Nej;Nej;Nej;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000003;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumxa005ecuqwd2rfqss7;http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Beskriv om särskilda skyddsåtgärder ska vidtas för att minimera risken för att föroreningar sprids.;Beskriv om särskilda skyddsåtgärder ska vidtas för att minimera risken för att föroreningar sprids.;SKA;;;;;Vid nederbord och avrinning;;556718;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000004;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumw2004bcuqwv0icjcu8;http://localhost:8787/api/admin/requirements/documents/cmm4yumw2004bcuqwv0icjcu8/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumw2004bcuqwv0icjcu8/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumw2004bcuqwv0icjcu8/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;LagringsvolymTid;Maxmangd;mer än 10 ton men högst 30 000 ton och avfallet ska användas för byggnads- eller anläggningsändamål, eller 2.;mer än 10 ton men högst 30 000 ton och avfallet ska användas för byggnads- eller anläggningsändamål, eller 2.;SKA;;;;;Alltid;;23 2025;10;;Nej;Nej;Nej;Nej;4;Avfallsmangder och lagringstid;Avfallsforteckning;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000005;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumvv0045cuqwqu9kp9wx;http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Massorna som ska användas är en betongplatta som funnits under en spannmålstork som brann upp i början av augusti i år.;Massorna som ska användas är en betongplatta som funnits under en spannmålstork som brann upp i början av augusti i år.;SKA;;;;;Vid mellanlagring av avfall;;17 2024;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000006;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumvv0045cuqwqu9kp9wx;http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;Ytkonstruktion;Tat yta;Betongplattan ska användas som utfyllnad i en vändplan som används för skogsbruket.;Betongplattan ska användas som utfyllnad i en vändplan som används för skogsbruket.;SKA;;;;;Vid mellanlagring av avfall;;17 2024;;;Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000007;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000;cmm4yumvv0045cuqwqu9kp9wx;http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Informationskrav;DagvattenLakvatten;Uppsamling;Allt avfall som används ska vara ”rent” och får inte innehålla några föroreningar som kan innebära att föroreningsrisken inte endast är ringa.;Allt avfall som används ska vara ”rent” och får inte innehålla några föroreningar som kan innebära att föroreningsrisken inte endast är ringa.;SKA;;;;Driftbegransning vid avvikelse;Vid nederbord och avrinning;;17 2024;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000008;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyz0075cuqwsj0akxcx;http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;Enligt bolagets försiktighetsmått 11 framgår följande: För samtliga avfallsmassor som tas in på anläggningen ska det finnas tydlig dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckligt.;Enligt bolagets försiktighetsmått 11 framgår följande: För samtliga avfallsmassor som tas in på anläggningen ska det finnas tydlig dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckl;SKA;;;;;Vid nederbord och avrinning;;88 50 42;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000009;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyz0075cuqwsj0akxcx;http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;Rutinen ska förklara hur ni avgör när provtagning är nödvändig eller när en bedömning räcker för att fastställa föroreningsinnehållet.;Rutinen ska förklara hur ni avgör när provtagning är nödvändig eller när en bedömning räcker för att fastställa föroreningsinnehållet.;SKA;;;;;Vid nederbord och avrinning;;88 50 42;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
KRAV-AUTO-000010;ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000;cmm4yumyz0075cuqwsj0akxcx;http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view;"=HYPERLÄNK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"";""Öppna PDF"")";"=HYPERLINK(""http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view"",""Open PDF"")";cmm55w57p0004cuisfrtpqly8;Beslutsvillkor;DagvattenLakvatten;Uppsamling;Dokumentation om hur lagring av avfallsmassor på lagringsplatsen ska hanteras så att olika avfallsmassor med olika föroreningsinnehåll inte blandas.;Dokumentation om hur lagring av avfallsmassor på lagringsplatsen ska hanteras så att olika avfallsmassor med olika föroreningsinnehåll inte blandas.;SKA;;;;;Vid nederbord och avrinning;;88 50 42;;;Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;AUTO_GENERERAD. Verifiera citat mot kallfil.;MEDIUM;AUTO;Nej;;;;
