"PdfOpen";"PdfViewUrl";"RequirementId";"CaseId";"DocumentId";"Kommun";"Myndighet";"Dokumenttyp";"KallaFil";"Kravkategori";"Kravsubkategori";"Kodningssakerhet";"Verifieringsstatus";"VerifieradJaNej";"VerifieradAv";"VerifieradDatum";"KravtextCitat";"TolkadKravtext";"ValideringsKommentar"
"Oppna PDF";"http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view";"KRAV-AUTO-000001";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000";"cmm4yumxa005ecuqwd2rfqss7";"Västerviks";"Västerviks kommun";"Anmalan";"2024-786 Anmälan.pdf";"LagringsvolymTid";"Maxmangd";"MEDIUM";"AUTO";"Nej";"";"";"Miljö- och byggnadskontoret Mängd (ton) 500 25 100 Beskriv kortfattat hur materialet kommer att användas och hur anläggningsarbetet ska utföras Materialförstärkningen täcks med bärlager och väg-grus.";"Miljö- och byggnadskontoret Mängd (ton) 500 25 100 Beskriv kortfattat hur materialet kommer att användas och hur anläggningsarbetet ska utföras Materialförstärkningen täcks med bärlager och väg-grus.";""
"Oppna PDF";"http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view";"KRAV-AUTO-000002";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000";"cmm4yumxa005ecuqwd2rfqss7";"Västerviks";"Västerviks kommun";"Anmalan";"2024-786 Anmälan.pdf";"MiljopaverkanForsiktighet";"Skyddsatgarder";"MEDIUM";"AUTO";"Nej";"";"";"Beskriv vilken behandling som ska ske av avfallet innan användning, t.ex.";"Beskriv vilken behandling som ska ske av avfallet innan användning, t.ex.";""
"Oppna PDF";"http://localhost:8787/api/admin/requirements/documents/cmm4yumxa005ecuqwd2rfqss7/view";"KRAV-AUTO-000003";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000";"cmm4yumxa005ecuqwd2rfqss7";"Västerviks";"Västerviks kommun";"Anmalan";"2024-786 Anmälan.pdf";"DagvattenLakvatten";"Uppsamling";"MEDIUM";"AUTO";"Nej";"";"";"Beskriv om särskilda skyddsåtgärder ska vidtas för att minimera risken för att föroreningar sprids.";"Beskriv om särskilda skyddsåtgärder ska vidtas för att minimera risken för att föroreningar sprids.";""
"Oppna PDF";"http://localhost:8787/api/admin/requirements/documents/cmm4yumw2004bcuqwv0icjcu8/view";"KRAV-AUTO-000004";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000";"cmm4yumw2004bcuqwv0icjcu8";"Västerviks";"Västerviks kommun";"Anmalan";"2024-786 Anmälan.pdf";"LagringsvolymTid";"Maxmangd";"MEDIUM";"AUTO";"Nej";"";"";"mer än 10 ton men högst 30 000 ton och avfallet ska användas för byggnads- eller anläggningsändamål, eller 2.";"mer än 10 ton men högst 30 000 ton och avfallet ska användas för byggnads- eller anläggningsändamål, eller 2.";""
"Oppna PDF";"http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view";"KRAV-AUTO-000005";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000";"cmm4yumvv0045cuqwqu9kp9wx";"Västerviks";"Västerviks kommun";"Anmalan";"2024-786 Anmälan.pdf";"Ytkonstruktion";"Tat yta";"MEDIUM";"AUTO";"Nej";"";"";"Massorna som ska användas är en betongplatta som funnits under en spannmålstork som brann upp i början av augusti i år.";"Massorna som ska användas är en betongplatta som funnits under en spannmålstork som brann upp i början av augusti i år.";""
"Oppna PDF";"http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view";"KRAV-AUTO-000006";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000";"cmm4yumvv0045cuqwqu9kp9wx";"Västerviks";"Västerviks kommun";"Anmalan";"2024-786 Anmälan.pdf";"Ytkonstruktion";"Tat yta";"MEDIUM";"AUTO";"Nej";"";"";"Betongplattan ska användas som utfyllnad i en vändplan som används för skogsbruket.";"Betongplattan ska användas som utfyllnad i en vändplan som används för skogsbruket.";""
"Oppna PDF";"http://localhost:8787/api/admin/requirements/documents/cmm4yumvv0045cuqwqu9kp9wx/view";"KRAV-AUTO-000007";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1E10000";"cmm4yumvv0045cuqwqu9kp9wx";"Västerviks";"Västerviks kommun";"Anmalan";"2024-786 Anmälan.pdf";"DagvattenLakvatten";"Uppsamling";"MEDIUM";"AUTO";"Nej";"";"";"Allt avfall som används ska vara ”rent” och får inte innehålla några föroreningar som kan innebära att föroreningsrisken inte endast är ringa.";"Allt avfall som används ska vara ”rent” och får inte innehålla några föroreningar som kan innebära att föroreningsrisken inte endast är ringa.";""
"Oppna PDF";"http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view";"KRAV-AUTO-000008";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000";"cmm4yumyz0075cuqwsj0akxcx";"Falkenberg Postadress Falkenbergs";"Falkenberg Postadress Falkenbergs kommun";"Beslut";"M-2024-2727_2025-01-10_Beslut (MHF MHN)_Västra Gärdet 2 1.pdf";"DagvattenLakvatten";"Uppsamling";"MEDIUM";"AUTO";"Nej";"";"";"Enligt bolagets försiktighetsmått 11 framgår följande: För samtliga avfallsmassor som tas in på anläggningen ska det finnas tydlig dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckligt.";"Enligt bolagets försiktighetsmått 11 framgår följande: För samtliga avfallsmassor som tas in på anläggningen ska det finnas tydlig dokumentation om massornas ursprung och provtagningsresultat som redovisar föroreningsinnehållet eller en bedömning av eventuellt föroreningsinnehåll i det fall det kan anses vara tillräckl";""
"Oppna PDF";"http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view";"KRAV-AUTO-000009";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000";"cmm4yumyz0075cuqwsj0akxcx";"Falkenberg Postadress Falkenbergs";"Falkenberg Postadress Falkenbergs kommun";"Beslut";"M-2024-2727_2025-01-10_Beslut (MHF MHN)_Västra Gärdet 2 1.pdf";"DagvattenLakvatten";"Uppsamling";"MEDIUM";"AUTO";"Nej";"";"";"Rutinen ska förklara hur ni avgör när provtagning är nödvändig eller när en bedömning räcker för att fastställa föroreningsinnehållet.";"Rutinen ska förklara hur ni avgör när provtagning är nödvändig eller när en bedömning räcker för att fastställa föroreningsinnehållet.";""
"Oppna PDF";"http://localhost:8787/api/admin/requirements/documents/cmm4yumyz0075cuqwsj0akxcx/view";"KRAV-AUTO-000010";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1D20000";"cmm4yumyz0075cuqwsj0akxcx";"Falkenberg Postadress Falkenbergs";"Falkenberg Postadress Falkenbergs kommun";"Beslut";"M-2024-2727_2025-01-10_Beslut (MHF MHN)_Västra Gärdet 2 1.pdf";"DagvattenLakvatten";"Uppsamling";"MEDIUM";"AUTO";"Nej";"";"";"Dokumentation om hur lagring av avfallsmassor på lagringsplatsen ska hanteras så att olika avfallsmassor med olika föroreningsinnehåll inte blandas.";"Dokumentation om hur lagring av avfallsmassor på lagringsplatsen ska hanteras så att olika avfallsmassor med olika föroreningsinnehåll inte blandas.";""
