"PriorityScore";"Reasons";"DocumentId";"CaseId";"Kommun";"Myndighet";"Dokumenttyp";"KallaFil";"RequirementCount";"LowConfidenceRows";"ShortQuoteRows";"PdfViewUrl"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yunfx00n8cuqwip626fan";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1960000";"";"";"Beslut";"MIL20241002pdf_976462.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yunfx00n8cuqwip626fan/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yunf100mbcuqwnj91q6k9";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B19F0000";"";"";"Beslut";"MIL20252496pdf_976448.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yunf100mbcuqwnj91q6k9/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yund900kkcuqw5fb0vkrj";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1A20000";"";"";"Beslut";"MIL20252223pdf_976436.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yund900kkcuqw5fb0vkrj/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yunl000shcuqwjrleocnn";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1860000";"";"";"Beslut";"MIL2024916pdf_976512.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yunl000shcuqwjrleocnn/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yunbz00jbcuqwnogcx92m";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1B10000";"";"";"Beslut";"MIL20251175pdf_976410.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yunbz00jbcuqwnogcx92m/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yunce00jncuqwbtgdr9dw";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1B00000";"";"";"Beslut";"MIL20251366pdf_976418.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yunce00jncuqwbtgdr9dw/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yundc00kncuqwamdo1upw";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1A20000";"";"";"Beslut";"MIL20252223pdf_976436.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yundc00kncuqwamdo1upw/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yungp00o2cuqw0eipmng3";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1940000";"";"";"Beslut";"MIL20241784pdf_976480.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yungp00o2cuqw0eipmng3/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yunbt00j5cuqweys2bjsv";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1B10000";"";"";"Beslut";"MIL20251175pdf_976410.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yunbt00j5cuqweys2bjsv/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yung400nhcuqwou7ycb5z";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1950000";"";"";"Beslut";"MIL20241501pdf_976472.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yung400nhcuqwou7ycb5z/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yuo1l0198cuqwfklwg66t";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AEF70000";"";"";"Anmalan";"2025-12-01 Anmälan (dnr 2025-515).pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yuo1l0198cuqwfklwg66t/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yunk400rkcuqw69tecqiq";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1890000";"";"";"Beslut";"MIL20242200pdf_976497.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yunk400rkcuqw69tecqiq/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yunko00s5cuqwjv8v2jj2";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1870000";"";"";"Beslut";"MIL20242459pdf_976503.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yunko00s5cuqwjv8v2jj2/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:2,auto_status:3";"cmm4yupsi02xhcuqwgbgcjc0r";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE560000";"";"";"Beslut";"Säkerhetsdatablad Nordic Shampoo.pdf";"3";"1";"2";"http://localhost:8787/api/admin/requirements/documents/cmm4yupsi02xhcuqwgbgcjc0r/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:2,auto_status:3";"cmm4yupu902z8cuqwgdajjrxt";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE550000";"";"";"Beslut";"Säkerhetsdatablad Sonax Gloss Dryer.pdf";"3";"1";"2";"http://localhost:8787/api/admin/requirements/documents/cmm4yupu902z8cuqwgdajjrxt/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yungl00nzcuqw6vxpl3xs";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1940000";"";"";"Beslut";"MIL20241784pdf_976480.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yungl00nzcuqw6vxpl3xs/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yunek00lwcuqwvgwjc3hk";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1A00000";"";"";"Beslut";"MIL20252312pdf_976442.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yunek00lwcuqwvgwjc3hk/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yunex00m8cuqwd4yhyz7u";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B19F0000";"";"";"Beslut";"MIL20252496pdf_976448.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yunex00m8cuqwd4yhyz7u/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yunca00jkcuqwgrx048jk";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1B00000";"";"";"Beslut";"MIL20251366pdf_976418.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yunca00jkcuqwgrx048jk/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:2,auto_status:3";"cmm4yuptx02ywcuqwfpwkaem8";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE550000";"";"";"Beslut";"Säkerhetsdatablad Sonax Gloss Dryer.pdf";"3";"1";"2";"http://localhost:8787/api/admin/requirements/documents/cmm4yuptx02ywcuqwfpwkaem8/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:2,auto_status:3";"cmm4yupsw02xtcuqw4oquv5fg";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087AE560000";"";"";"Beslut";"Säkerhetsdatablad Nordic Shampoo.pdf";"3";"1";"2";"http://localhost:8787/api/admin/requirements/documents/cmm4yupsw02xtcuqw4oquv5fg/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yune800lkcuqwkwmew0us";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1A00000";"";"";"Beslut";"MIL20252312pdf_976442.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yune800lkcuqwkwmew0us/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yuner00m2cuqwh9mjdnzs";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B19F0000";"";"";"Beslut";"MIL20252496pdf_976448.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yuner00m2cuqwh9mjdnzs/view"
"14";"saknar_kommun,saknar_myndighet,low_confidence:1,korta_citat:1,auto_status:3";"cmm4yundf00kqcuqw3i5tmxz5";"ADMIN-INDEX-2026-02-27-00000000125C043F57453246863FE664CAFE6A3F0700950291EA24F0614FB6ACEDB12BF0E31D00000000010C0000950291EA24F0614FB6ACEDB12BF0E31D00002087B1A20000";"";"";"Beslut";"MIL20252223pdf_976436.pdf";"3";"1";"1";"http://localhost:8787/api/admin/requirements/documents/cmm4yundf00kqcuqw3i5tmxz5/view"
